sampleID	genomicsSampleID	d15N	organicd13C	nitrogenPercent	organicCPercent	soilInWaterpH	soilInCaClpH
DEJU_045-M-33.5-0-20180621	DEJU_045-M-20180621-COMP	5.3	-25.9	0.09	1.8	5.53	5.17
DEJU_045-M-37.5-28-20180621	DEJU_045-M-20180621-COMP	4.8	-26.1	0.12	2.67	5.41	4.58
DEJU_045-M-7.5-30-20180621	DEJU_045-M-20180621-COMP	5.4	-25.9	0.1	1.76	5.99	5.11
DEJU_046-O-15-0-20180621	DEJU_046-O-20180621-COMP	3.8	-27	0.55	11.79	4.59	3.88
DEJU_046-O-32.5-5-20180621	DEJU_046-O-20180621-COMP	3.3	-27.1	0.29	7.66	4.75	3.72
DEJU_046-O-2.5-20.5-20180621	DEJU_046-O-20180621-COMP	1.8	-27.4	1	25.52	4.72	3.81
DEJU_046-M-15-0-20180621	DEJU_046-M-20180621-COMP	5.2	-26.3	0.12	2.12	5.6	5.3
DEJU_046-M-32.5-5-20180621	DEJU_046-M-20180621-COMP	4.6	-26.6	0.13	3.34	5.54	5.01
DEJU_046-M-32.5-5-20180621	DEJU_046-M-20180621-COMP	4.9	-26.3	0.12	2.36	5.54	5.01
DEJU_046-M-2.5-20.5-20180621	DEJU_046-M-20180621-COMP	4.4	-26.8	0.31	7.53	4.84	4.15
