uid	analysisDate	namedLocation	domainID	siteID	plotID	plotType	startDate	collectDate	sampleID	sampleCode	cnSampleID	cnSampleCode	sampleType	acidTreatment	co2Trapped	d15N	organicd13C	nitrogenPercent	organicCPercent	CNratio	cnIsotopeQF	cnPercentQF	isotopeAccuracyQF	percentAccuracyQF	analyticalRepNumber	remarks	laboratoryName	testMethod	instrument	analyzedBy	reviewedBy	dataQF	publicationDate	release
a8bcd88d-aa0a-4e7c-a1ff-5e3649c7b3c8	2018-03-06T00:00:00Z	TOOL_044.basePlot.bgc	D18	TOOL	TOOL_044	tower	2017-07-20T02:33:00Z	2017-07-20T02:33:00Z	TOOL_044-M-35-14.5-20170719	NA	TOOL_044-M-35-14.5-20170719-CN	NA	soil	N	NA	2.9	-26.1	0.07	1.15	16.2	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
006423e4-aa98-4cb8-9f0a-1642881d1708	2018-02-07T00:00:00Z	TOOL_005.basePlot.bgc	D18	TOOL	TOOL_005	distributed	2017-07-21T18:10:00Z	2017-07-21T18:10:00Z	TOOL_005-O-16.5-0-20170721	NA	TOOL_005-O-16.5-0-20170721-CN	NA	soil	N	NA	2.2	-25.9	1.4	42.15	30.1	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
4de33fc7-09fc-457e-af46-f635141f837d	2018-01-22T00:00:00Z	TOOL_005.basePlot.bgc	D18	TOOL	TOOL_005	distributed	2017-07-21T18:21:00Z	2017-07-21T18:21:00Z	TOOL_005-M-16.5-0-20170721	NA	TOOL_005-M-16.5-0-20170721-CN	NA	soil	N	NA	3.3	-26.6	0.55	10.75	19.4	OK	OK	OK	OK	2	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
0a996510-ab58-49d2-9b49-28ba1dbdb677	2018-01-22T00:00:00Z	TOOL_005.basePlot.bgc	D18	TOOL	TOOL_005	distributed	2017-07-21T18:21:00Z	2017-07-21T18:21:00Z	TOOL_005-M-16.5-0-20170721	NA	TOOL_005-M-16.5-0-20170721-CN	NA	soil	N	NA	3.3	-26.6	0.55	10.54	19.3	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
730c0bc5-5728-47bd-a7ab-f1073da88b0e	2018-02-07T00:00:00Z	TOOL_005.basePlot.bgc	D18	TOOL	TOOL_005	distributed	2017-07-21T19:13:00Z	2017-07-21T19:13:00Z	TOOL_005-O-31.5-6-20170721	NA	TOOL_005-O-31.5-6-20170721-CN	NA	soil	N	NA	2.7	-26.6	1.4	40.72	29	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
2a642e2c-4a62-4a78-973f-e2562e75d50f	2018-02-07T00:00:00Z	TOOL_006.basePlot.bgc	D18	TOOL	TOOL_006	distributed	2017-07-21T19:14:00Z	2017-07-21T19:14:00Z	TOOL_006-O-39-35-20170721	NA	TOOL_006-O-39-35-20170721-CN	NA	soil	N	NA	1.6	-25.9	1.94	39.05	20.2	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
fb37b543-df3a-4695-b96a-d265000978df	2018-01-22T00:00:00Z	TOOL_006.basePlot.bgc	D18	TOOL	TOOL_006	distributed	2017-07-21T19:28:00Z	2017-07-21T19:28:00Z	TOOL_006-M-39-35-20170721	NA	TOOL_006-M-39-35-20170721-CN	NA	soil	N	NA	1.1	-26.7	0.27	5.06	18.5	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
72733553-68a7-486d-9672-6403f0e56902	2018-01-22T00:00:00Z	TOOL_005.basePlot.bgc	D18	TOOL	TOOL_005	distributed	2017-07-21T19:29:00Z	2017-07-21T19:29:00Z	TOOL_005-M-31.5-6-20170721	NA	TOOL_005-M-31.5-6-20170721-CN	NA	soil	N	NA	2.8	-27.2	0.26	5.42	21.2	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
09ce950f-920a-4069-b3be-932c2eaffddb	2018-02-07T00:00:00Z	TOOL_006.basePlot.bgc	D18	TOOL	TOOL_006	distributed	2017-07-21T19:59:00Z	2017-07-21T19:59:00Z	TOOL_006-O-34-17.5-20170721	NA	TOOL_006-O-34-17.5-20170721-CN	NA	soil	N	NA	2.1	-25.6	2.05	35.69	17.4	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
f7e7bc6e-0f89-4b64-9749-2deb1745b2c6	2018-02-07T00:00:00Z	TOOL_005.basePlot.bgc	D18	TOOL	TOOL_005	distributed	2017-07-21T20:05:00Z	2017-07-21T20:05:00Z	TOOL_005-O-4.5-20.5-20170721	NA	TOOL_005-O-4.5-20.5-20170721-CN	NA	soil	N	NA	2.9	-26.4	1.19	34.06	28.7	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
