sampleID	d15N	organicd13C	nitrogenPercent	organicCPercent
DEJU_047-O-2.5-32.5-20180621	1.8	-27.5	0.86	31.25
DEJU_047-O-2.5-32.5-20180621	1.9	-27.6	0.83	30.62
DEJU_047-M-2.5-32.5-20180621	5.3	-26.8	0.15	3.09
DEJU_048-M-36.5-25.5-20180621	4.3	-27.1	0.22	5.22
DEJU_047-O-32-18.5-20180621	1	-27.7	1.06	38.29
DEJU_047-M-32-18.5-20180621	4.2	-27.1	0.12	2.2
DEJU_048-O-20.5-7.5-20180621	2.3	-27.5	0.38	15.77
DEJU_047-O-39-21.5-20180621	0.4	-27.8	1.06	41.73
DEJU_048-M-20.5-7.5-20180621	4.1	-26.9	0.15	3.57
DEJU_047-M-39-21.5-20180621	3	-26.8	0.26	5.32
DEJU_048-O-16.5-8-20180621	3	-27.5	0.29	12.2
DEJU_048-M-16.5-8-20180621	4.8	-25.9	0.13	2.59
DEJU_045-O-33.5-0-20180621	2	-27.2	0.67	15.66
DEJU_045-M-33.5-0-20180621	5.3	-25.9	0.09	1.8
DEJU_045-O-37.5-28-20180621	2.2	-27	0.43	9.52
DEJU_045-M-37.5-28-20180621	4.8	-26.1	0.12	2.67
DEJU_045-O-7.5-30-20180621	2.4	-27.3	0.32	8.57
DEJU_045-M-7.5-30-20180621	5.4	-25.9	0.1	1.76
DEJU_046-O-32.5-5-20180621	3.3	-27.1	0.29	7.66
DEJU_046-M-32.5-5-20180621	4.6	-26.6	0.13	3.34
DEJU_046-M-32.5-5-20180621	4.9	-26.3	0.12	2.36
DEJU_046-O-15-0-20180621	3.8	-27	0.55	11.79
DEJU_046-M-15-0-20180621	5.2	-26.3	0.12	2.12
DEJU_046-O-2.5-20.5-20180621	1.8	-27.4	1	25.52
DEJU_046-M-2.5-20.5-20180621	4.4	-26.8	0.31	7.53
