genomicsSampleID	d15N	organicd13C	nitrogenPercent	organicCPercent	soilInWaterpH	soilInCaClpH
TOOL_004-M-20170726-COMP	2.3333333333333335	-27.3	0.18	3.526666666666667	5.8466073425227565	4.6397388441046346
TOOL_004-O-20170726-COMP	1.65	-26.35	1.47	30.075000000000003	5.1575158505928504	4.491698947597886
TOOL_005-M-20170721-COMP	3.15	-27.025	0.37250000000000005	7.4525	5.27493433383689	4.214530095448943
TOOL_005-O-20170721-COMP	2.6	-26.3	1.3299999999999998	38.97666666666667	5.1805667997075275	4.206962826506201
TOOL_006-M-20170721-COMP	1.2000000000000002	-26.549999999999997	0.32	5.73	5.4346914054906446	4.703293956243305
TOOL_006-O-20170721-COMP	1.7	-25.666666666666668	1.8733333333333333	35.86	5.595411439314352	4.788817269991247
TOOL_041-M-20170719-COMP	3	-26.1	0.15	3.09	NA	NA
TOOL_041-O-20170719-COMP	0.30000000000000004	-26.475	1.1875	37.1475	5.021684112233453	3.963769919454013
TOOL_042-M-20170719-COMP	3.2	-27.066666666666666	0.20333333333333334	4.63	5.738882997402769	4.457730939812126
TOOL_042-O-20170719-COMP	1.9333333333333333	-25.766666666666666	1.1433333333333333	32.263333333333335	5.326987634736353	4.582073931170765
TOOL_043-M-20170719-COMP	2.4	-27.5	0.12	2.59	5.79	4.4
TOOL_043-O-20170719-COMP	3.1	-26.033333333333335	1.19	37.49	4.907940008672037	3.8630286486917944
TOOL_044-M-20170719-COMP	2.9333333333333336	-26.46666666666667	0.19999999999999998	3.9366666666666665	NA	NA
TOOL_044-O-20170719-COMP	1.6	-26.566666666666666	1.34	32.056666666666665	5.07005266196066	4.70566639868066
