sampleID	genomicsSampleID
TOOL_001-O-35.5-10.5-20190807	TOOL_001-O-20190807-COMP
TOOL_001-O-33-28-20190807	TOOL_001-O-20190807-COMP
TOOL_005-O-35.5-22.5-20190807	TOOL_005-O-20190807-COMP
TOOL_005-O-9-32.5-20190807	TOOL_005-O-20190807-COMP
TOOL_005-O-38.5-18-20190807	TOOL_005-O-20190807-COMP
BONA_084-O-3.5-38-20170822	BONA_084-O-20170822-COMP
BONA_084-O-38.5-37.5-20170822	BONA_084-O-20170822-COMP
BONA_084-O-36.5-18.5-20170822	BONA_084-O-20170822-COMP
BONA_001-O-29-2.5-20170822	BONA_001-O-20170822-COMP
BONA_001-O-0-28.5-20170822	BONA_001-O-20170822-COMP
BONA_001-O-30-24-20170822	BONA_001-O-20170822-COMP
BONA_002-O-17-3.5-20170823	BONA_002-O-20170823-COMP
BONA_002-O-8.5-29-20170823	BONA_002-O-20170823-COMP
BONA_002-O-30-0.5-20170823	BONA_002-O-20170823-COMP
BONA_009-O-6.5-4.5-20170823	BONA_009-O-20170823-COMP
BONA_009-O-1-37.5-20170823	BONA_009-O-20170823-COMP
BONA_071-O-6.5-25-20180918	BONA_071-O-20180918-COMP
BONA_071-O-17-7-20180918	BONA_071-O-20180918-COMP
BONA_071-O-24-9.5-20180918	BONA_071-O-20180918-COMP
BONA_080-O-14.5-4.5-20180918	BONA_080-O-20180918-COMP
BONA_080-O-30.5-6-20180918	BONA_080-O-20180918-COMP
BONA_080-O-16.5-3.5-20180918	BONA_080-O-20180918-COMP
BONA_070-O-33.5-1.5-20180918	BONA_070-O-20180918-COMP
BONA_070-O-1-16.5-20180918	BONA_070-O-20180918-COMP
BONA_070-O-22.5-37.5-20180918	BONA_070-O-20180918-COMP
BONA_084-O-19.5-34-20180918	BONA_084-O-20180918-COMP
BONA_084-O-1.5-11-20180918	BONA_084-O-20180918-COMP
BONA_084-O-21.5-38.5-20180918	BONA_084-O-20180918-COMP
BONA_013-O-3-39.5-20180919	BONA_013-O-20180919-COMP
BONA_013-O-34-38-20180919	BONA_013-O-20180919-COMP
BONA_013-O-1.5-4-20180919	BONA_013-O-20180919-COMP
BONA_009-O-13-5.5-20180919	BONA_009-O-20180919-COMP
BONA_009-O-29.5-34.5-20180919	BONA_009-O-20180919-COMP
BONA_009-O-31.5-11-20180919	BONA_009-O-20180919-COMP
BONA_004-O-10.5-32-20180919	BONA_004-O-20180919-COMP
BONA_004-O-17.5-5.5-20180919	BONA_004-O-20180919-COMP
